reference,name,document_url,documentation_url,notes123,made_date,confirmed_date,entry_date,start_date,end_date
TPO-28W,TPO-28W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-28W.pdf,https://www.stockport.gov.uk/TPO/28W,,18/03/1969,,18/03/1969,18/03/1969,
TPO-39W,TPO-39W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-39W.pdf,https://www.stockport.gov.uk/TPO/39W,,01/01/1970,,01/01/1970,01/01/1970,
TPO-29W,TPO-29W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-29W.pdf,https://www.stockport.gov.uk/TPO/29W,,09/12/1968,,09/12/1968,09/12/1968,
TPO-26W,TPO-26W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-26W.pdf,https://www.stockport.gov.uk/TPO/26W,,30/10/1968,,30/10/1968,30/10/1968,
TPO-497W,TPO-497W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-497W.pdf,https://www.stockport.gov.uk/TPO/497W,,22/10/2025,,22/10/2025,22/10/2025,
TPO-461W,TPO-461W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-461W.pdf,https://www.stockport.gov.uk/TPO/461W,,24/10/2025,,24/10/2025,24/10/2025,
TPO-30W,TPO-30W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-30W.pdf,https://www.stockport.gov.uk/TPO/30W,,01/01/1970,,01/01/1970,01/01/1970,
TPO-51W,TPO-51W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-51W.pdf,https://www.stockport.gov.uk/TPO/51W,,01/10/1970,,01/10/1970,01/10/1970,
TPO-31W,TPO-31W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-31W.pdf,https://www.stockport.gov.uk/TPO/31W,,12/05/1969,,12/05/1969,12/05/1969,
TPO-33W,TPO-33W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-33W.pdf,https://www.stockport.gov.uk/TPO/33W,,28/04/1969,,28/04/1969,28/04/1969,
TPO-453W,TPO-453W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-453W.pdf,https://www.stockport.gov.uk/TPO/453W,,24/10/2025,,24/10/2025,24/10/2025,
TPO-35W,TPO-35W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-35W.pdf,https://www.stockport.gov.uk/TPO/35W,,01/01/1970,,01/01/1970,01/01/1970,
TPO-37W,TPO-37W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-37W.pdf,https://www.stockport.gov.uk/TPO/37W,,01/01/1970,,01/01/1970,01/01/1970,
TPO-38W,TPO-38W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-38W.pdf,https://www.stockport.gov.uk/TPO/38W,,23/09/1970,,23/09/1970,23/09/1970,
TPO-41W,TPO-41W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-41W.pdf,https://www.stockport.gov.uk/TPO/41W,,23/09/1970,,23/09/1970,23/09/1970,
TPO-40W,TPO-40W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-40W.pdf,https://www.stockport.gov.uk/TPO/40W,,29/10/1970,,29/10/1970,29/10/1970,
TPO-42W,TPO-42W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-42W.pdf,https://www.stockport.gov.uk/TPO/42W,,19/08/1970,,19/08/1970,19/08/1970,
TPO-44W,TPO-44W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-44W.pdf,https://www.stockport.gov.uk/TPO/44W,,01/01/1970,,01/01/1970,01/01/1970,
TPO-333E,TPO-333E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-333E.pdf,https://www.stockport.gov.uk/TPO/333E,,02/10/2025,,02/10/2025,02/10/2025,
TPO-46W,TPO-46W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-46W.pdf,https://www.stockport.gov.uk/TPO/46W,,01/01/1970,,01/01/1970,01/01/1970,
TPO-47W,TPO-47W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-47W.pdf,https://www.stockport.gov.uk/TPO/47W,,01/01/1970,,01/01/1970,01/01/1970,
TPO-48W,TPO-48W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-48W.pdf,https://www.stockport.gov.uk/TPO/48W,,01/03/1971,,01/03/1971,01/03/1971,
TPO-49W,TPO-49W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-49W.pdf,https://www.stockport.gov.uk/TPO/49W,,01/04/1971,,01/04/1971,01/04/1971,
TPO-50W,TPO-50W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-50W.pdf,https://www.stockport.gov.uk/TPO/50W,,11/08/1971,,11/08/1971,11/08/1971,
TPO-355E,TPO-355E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-355E.pdf,https://www.stockport.gov.uk/TPO/355E,,06/08/2024,,06/08/2024,06/08/2024,
TPO-53W,TPO-53W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-53W.pdf,https://www.stockport.gov.uk/TPO/53W,,01/08/1971,,01/08/1971,01/08/1971,
TPO-54W,TPO-54W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-54W.pdf,https://www.stockport.gov.uk/TPO/54W,,01/11/1971,,01/11/1971,01/11/1971,
TPO-55W,TPO-55W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-55W.pdf,https://www.stockport.gov.uk/TPO/55W,,01/11/1971,,01/11/1971,01/11/1971,
TPO-56W,TPO-56W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-56W.pdf,https://www.stockport.gov.uk/TPO/56W,,17/07/1972,,17/07/1972,17/07/1972,
TPO-58W,TPO-58W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-58W.pdf,https://www.stockport.gov.uk/TPO/58W,,14/12/1972,,14/12/1972,14/12/1972,
TPO-60W,TPO-60W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-60W.pdf,https://www.stockport.gov.uk/TPO/60W,,01/05/1972,,01/05/1972,01/05/1972,
TPO-63W,TPO-63W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-63W.pdf,https://www.stockport.gov.uk/TPO/63W,,01/07/1972,,01/07/1972,01/07/1972,
TPO-65W,TPO-65W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-65W.pdf,https://www.stockport.gov.uk/TPO/65W,,08/01/1973,,08/01/1973,08/01/1973,
TPO-67W,TPO-67W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-67W.pdf,https://www.stockport.gov.uk/TPO/67W,,01/06/1973,,01/06/1973,01/06/1973,
TPO-69W,TPO-69W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-69W.pdf,https://www.stockport.gov.uk/TPO/69W,,12/02/1974,,12/02/1974,12/02/1974,
TPO-70W,TPO-70W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-70W.pdf,https://www.stockport.gov.uk/TPO/70W,,12/02/1974,,12/02/1974,12/02/1974,
TPO-84W,TPO-84W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-84W.pdf,https://www.stockport.gov.uk/TPO/84W,,15/11/1972,,15/11/1972,15/11/1972,
TPO-87W,TPO-87W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-87W.pdf,https://www.stockport.gov.uk/TPO/87W,,01/01/1972,,01/01/1972,01/01/1972,
TPO-88W,TPO-88W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-88W.pdf,https://www.stockport.gov.uk/TPO/88W,,01/01/1973,,01/01/1973,01/01/1973,
TPO-486W,TPO-486W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-486W.pdf,https://www.stockport.gov.uk/TPO/486W,,04/11/2025,,04/11/2025,04/11/2025,
TPO-93W,TPO-93W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-93W.pdf,https://www.stockport.gov.uk/TPO/93W,,22/09/1970,,22/09/1970,22/09/1970,
TPO-272E,TPO-272E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-272E.pdf,https://www.stockport.gov.uk/TPO/272E,,17/05/2004,,17/05/2004,17/05/2004,
TPO-97W,TPO-97W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-97W.pdf,https://www.stockport.gov.uk/TPO/97W,,01/12/1974,,01/12/1974,01/12/1974,
TPO-98W,TPO-98W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-98W.pdf,https://www.stockport.gov.uk/TPO/98W,,01/01/1975,,01/01/1975,01/01/1975,
TPO-100W,TPO-100W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-100W.pdf,https://www.stockport.gov.uk/TPO/100W,,01/01/1975,,01/01/1975,01/01/1975,
TPO-103W,TPO-103W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-103W.pdf,https://www.stockport.gov.uk/TPO/103W,,01/06/1975,,01/06/1975,01/06/1975,
TPO-105W,TPO-105W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-105W.pdf,https://www.stockport.gov.uk/TPO/105W,,01/01/1976,,01/01/1976,01/01/1976,
TPO-106W,TPO-106W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-106W.pdf,https://www.stockport.gov.uk/TPO/106W,,01/01/1976,,01/01/1976,01/01/1976,
TPO-107W,TPO-107W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-107W.pdf,https://www.stockport.gov.uk/TPO/107W,,01/01/1976,,01/01/1976,01/01/1976,
TPO-108W,TPO-108W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-108W.pdf,https://www.stockport.gov.uk/TPO/108W,,01/01/1976,,01/01/1976,01/01/1976,
TPO-109W,TPO-109W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-109W.pdf,https://www.stockport.gov.uk/TPO/109W,,01/09/1976,,01/09/1976,01/09/1976,
TPO-112W,TPO-112W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-112W.pdf,https://www.stockport.gov.uk/TPO/112W,,01/03/1977,,01/03/1977,01/03/1977,
TPO-113W,TPO-113W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-113W.pdf,https://www.stockport.gov.uk/TPO/113W,,16/12/1977,,16/12/1977,16/12/1977,
TPO-114W,TPO-114W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-114W.pdf,https://www.stockport.gov.uk/TPO/114W,,01/10/1977,,01/10/1977,01/10/1977,
TPO-115W,TPO-115W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-115W.pdf,https://www.stockport.gov.uk/TPO/115W,,01/11/1978,,01/11/1978,01/11/1978,
TPO-116W,TPO-116W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-116W.pdf,https://www.stockport.gov.uk/TPO/116W,,16/03/1979,,16/03/1979,16/03/1979,
TPO-117W,TPO-117W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-117W.pdf,https://www.stockport.gov.uk/TPO/117W,,01/08/1979,,01/08/1979,01/08/1979,
TPO-121W,TPO-121W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-121W.pdf,https://www.stockport.gov.uk/TPO/121W,,01/03/1980,,01/03/1980,01/03/1980,
TPO-122W,TPO-122W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-122W.pdf,https://www.stockport.gov.uk/TPO/122W,,01/05/1980,,01/05/1980,01/05/1980,
TPO-124W,TPO-124W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-124W.pdf,https://www.stockport.gov.uk/TPO/124W,,01/09/1980,,01/09/1980,01/09/1980,
TPO-125W,TPO-125W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-125W.pdf,https://www.stockport.gov.uk/TPO/125W,,22/08/1980,,22/08/1980,22/08/1980,
TPO-126W,TPO-126W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-126W.pdf,https://www.stockport.gov.uk/TPO/126W,,12/09/1980,,12/09/1980,12/09/1980,
TPO-128W,TPO-128W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-128W.pdf,https://www.stockport.gov.uk/TPO/128W,,20/05/1981,,20/05/1981,20/05/1981,
TPO-129W,TPO-129W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-129W.pdf,https://www.stockport.gov.uk/TPO/129W,,15/06/1981,,15/06/1981,15/06/1981,
TPO-130W,TPO-130W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-130W.pdf,https://www.stockport.gov.uk/TPO/130W,,01/05/1981,,01/05/1981,01/05/1981,
TPO-131W,TPO-131W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-131W.pdf,https://www.stockport.gov.uk/TPO/131W,,06/07/1981,,06/07/1981,06/07/1981,
TPO-132W,TPO-132W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-132W.pdf,https://www.stockport.gov.uk/TPO/132W,,06/08/1981,,06/08/1981,06/08/1981,
TPO-135W,TPO-135W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-135W.pdf,https://www.stockport.gov.uk/TPO/135W,,04/06/1982,,04/06/1982,04/06/1982,
TPO-120W,TPO-120W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-120W.pdf,https://www.stockport.gov.uk/TPO/120W,,01/01/1980,,01/01/1980,01/01/1980,
TPO-136W,TPO-136W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-136W.pdf,https://www.stockport.gov.uk/TPO/136W,,10/09/1982,,10/09/1982,10/09/1982,
TPO-137W,TPO-137W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-137W.pdf,https://www.stockport.gov.uk/TPO/137W,,24/09/1982,,24/09/1982,24/09/1982,
TPO-140W,TPO-140W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-140W.pdf,https://www.stockport.gov.uk/TPO/140W,,17/06/1983,,17/06/1983,17/06/1983,
TPO-141W,TPO-141W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-141W.pdf,https://www.stockport.gov.uk/TPO/141W,,01/07/1983,,01/07/1983,01/07/1983,
TPO-142W,TPO-142W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-142W.pdf,https://www.stockport.gov.uk/TPO/142W,,09/09/1983,,09/09/1983,09/09/1983,
TPO-144W,TPO-144W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-144W.pdf,https://www.stockport.gov.uk/TPO/144W,,21/10/1983,,21/10/1983,21/10/1983,
TPO-532W,TPO-532W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-532W.pdf,https://www.stockport.gov.uk/TPO/532W,,05/01/2026,,05/01/2026,05/01/2026,
TPO-145W,TPO-145W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-145W.pdf,https://www.stockport.gov.uk/TPO/145W,,03/02/1984,,03/02/1984,03/02/1984,
TPO-147W,TPO-147W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-147W.pdf,https://www.stockport.gov.uk/TPO/147W,,13/04/1984,,13/04/1984,13/04/1984,
TPO-148W,TPO-148W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-148W.pdf,https://www.stockport.gov.uk/TPO/148W,,25/05/1984,,25/05/1984,25/05/1984,
TPO-127W,TPO-127W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-127W.pdf,https://www.stockport.gov.uk/TPO/127W,,28/04/1981,,28/04/1981,28/04/1981,
TPO-150W,TPO-150W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-150W.pdf,https://www.stockport.gov.uk/TPO/150W,,24/08/1984,,24/08/1984,24/08/1984,
TPO-152W,TPO-152W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-152W.pdf,https://www.stockport.gov.uk/TPO/152W,,30/11/1984,,30/11/1984,30/11/1984,
TPO-153W,TPO-153W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-153W.pdf,https://www.stockport.gov.uk/TPO/153W,,07/12/1984,,07/12/1984,07/12/1984,
TPO-155W,TPO-155W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-155W.pdf,https://www.stockport.gov.uk/TPO/155W,,21/06/1985,,21/06/1985,21/06/1985,
TPO-156W,TPO-156W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-156W.pdf,https://www.stockport.gov.uk/TPO/156W,,16/08/1985,,16/08/1985,16/08/1985,
TPO-157W,TPO-157W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-157W.pdf,https://www.stockport.gov.uk/TPO/157W,,25/10/1985,,25/10/1985,25/10/1985,
TPO-159W,TPO-159W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-159W.pdf,https://www.stockport.gov.uk/TPO/159W,,05/09/1986,,05/09/1986,05/09/1986,
TPO-160W,TPO-160W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-160W.pdf,https://www.stockport.gov.uk/TPO/160W,,10/07/1987,,10/07/1987,10/07/1987,
TPO-166W,TPO-166W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-166W.pdf,https://www.stockport.gov.uk/TPO/166W,,29/06/1988,,29/06/1988,29/06/1988,
TPO-9N,TPO-9N,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-9N.pdf,https://www.stockport.gov.uk/TPO/9N,,01/06/1975,,01/06/1975,01/06/1975,
TPO-162W,TPO-162W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-162W.pdf,https://www.stockport.gov.uk/TPO/162W,,18/09/1987,,18/09/1987,18/09/1987,
TPO-172W,TPO-172W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-172W.pdf,https://www.stockport.gov.uk/TPO/172W,,07/04/1989,,07/04/1989,07/04/1989,
TPO-174W,TPO-174W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-174W.pdf,https://www.stockport.gov.uk/TPO/174W,,02/06/1989,,02/06/1989,02/06/1989,
TPO-176W,TPO-176W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-176W.pdf,https://www.stockport.gov.uk/TPO/176W,,15/09/1989,,15/09/1989,15/09/1989,
TPO-177W,TPO-177W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-177W.pdf,https://www.stockport.gov.uk/TPO/177W,,23/06/1989,,23/06/1989,23/06/1989,
TPO-178W,TPO-178W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-178W.pdf,https://www.stockport.gov.uk/TPO/178W,,18/08/1989,,18/08/1989,18/08/1989,
TPO-182W,TPO-182W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-182W.pdf,https://www.stockport.gov.uk/TPO/182W,,25/05/1990,,25/05/1990,25/05/1990,
TPO-184W,TPO-184W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-184W.pdf,https://www.stockport.gov.uk/TPO/184W,,22/03/1990,,22/03/1990,22/03/1990,
TPO-185W,TPO-185W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-185W.pdf,https://www.stockport.gov.uk/TPO/185W,,11/05/1990,,11/05/1990,11/05/1990,
TPO-186W,TPO-186W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-186W.pdf,https://www.stockport.gov.uk/TPO/186W,,11/05/1990,,11/05/1990,11/05/1990,
TPO-11N,TPO-11N,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-11N.pdf,https://www.stockport.gov.uk/TPO/11N,,01/07/1975,,01/07/1975,01/07/1975,
TPO-189W,TPO-189W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-189W.pdf,https://www.stockport.gov.uk/TPO/189W,,29/06/1990,,29/06/1990,29/06/1990,
TPO-190W,TPO-190W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-190W.pdf,https://www.stockport.gov.uk/TPO/190W,,18/01/1991,,18/01/1991,18/01/1991,
TPO-194W,TPO-194W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-194W.pdf,https://www.stockport.gov.uk/TPO/194W,,15/02/1991,,15/02/1991,15/02/1991,
TPO-199W,TPO-199W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-199W.pdf,https://www.stockport.gov.uk/TPO/199W,,28/08/1992,,28/08/1992,28/08/1992,
TPO-309E,TPO-309E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-309E.pdf,https://www.stockport.gov.uk/TPO/309E,,21/09/2006,,21/09/2006,21/09/2006,
TPO-201W,TPO-201W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-201W.pdf,https://www.stockport.gov.uk/TPO/201W,,02/10/1992,,02/10/1992,02/10/1992,
TPO-202W,TPO-202W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-202W.pdf,https://www.stockport.gov.uk/TPO/202W,,29/10/1993,,29/10/1993,29/10/1993,
TPO-206W,TPO-206W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-206W.pdf,https://www.stockport.gov.uk/TPO/206W,,17/09/1993,,17/09/1993,17/09/1993,
TPO-207W,TPO-207W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-207W.pdf,https://www.stockport.gov.uk/TPO/207W,,24/11/1993,,24/11/1993,24/11/1993,
TPO-208W,TPO-208W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-208W.pdf,https://www.stockport.gov.uk/TPO/208W,,06/01/1994,,06/01/1994,06/01/1994,
TPO-213W,TPO-213W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-213W.pdf,https://www.stockport.gov.uk/TPO/213W,,23/09/1994,,23/09/1994,23/09/1994,
TPO-214W,TPO-214W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-214W.pdf,https://www.stockport.gov.uk/TPO/214W,,14/10/1994,,14/10/1994,14/10/1994,
TPO-215W,TPO-215W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-215W.pdf,https://www.stockport.gov.uk/TPO/215W,,05/09/1994,,05/09/1994,05/09/1994,
TPO-217W,TPO-217W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-217W.pdf,https://www.stockport.gov.uk/TPO/217W,,25/08/1995,,25/08/1995,25/08/1995,
TPO-218W,TPO-218W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-218W.pdf,https://www.stockport.gov.uk/TPO/218W,,16/06/1995,,16/06/1995,16/06/1995,
TPO-219W,TPO-219W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-219W.pdf,https://www.stockport.gov.uk/TPO/219W,,25/08/1995,,25/08/1995,25/08/1995,
TPO-187W,TPO-187W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-187W.pdf,https://www.stockport.gov.uk/TPO/187W,,19/04/1990,,19/04/1990,19/04/1990,
TPO-313E,TPO-313E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-313E.pdf,https://www.stockport.gov.uk/TPO/313E,,03/08/2006,,03/08/2006,03/08/2006,
TPO-307E,TPO-307E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-307E.pdf,https://www.stockport.gov.uk/TPO/307E,,28/08/2006,,28/08/2006,28/08/2006,
TPO-310E,TPO-310E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-310E.pdf,https://www.stockport.gov.uk/TPO/310E,,20/07/2006,,20/07/2006,20/07/2006,
TPO-305E,TPO-305E,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-305E.pdf,https://www.stockport.gov.uk/TPO/305E,,21/09/2006,,21/09/2006,21/09/2006,
TPO-225W,TPO-225W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-225W.pdf,https://www.stockport.gov.uk/TPO/225W,,21/09/1995,,21/09/1995,21/09/1995,
TPO-226W,TPO-226W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-226W.pdf,https://www.stockport.gov.uk/TPO/226W,,21/09/1995,,21/09/1995,21/09/1995,
TPO-229W,TPO-229W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-229W.pdf,https://www.stockport.gov.uk/TPO/229W,,29/03/1996,,29/03/1996,29/03/1996,
TPO-230W,TPO-230W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-230W.pdf,https://www.stockport.gov.uk/TPO/230W,,03/05/1996,,03/05/1996,03/05/1996,
TPO-233W,TPO-233W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-233W.pdf,https://www.stockport.gov.uk/TPO/233W,,13/09/1996,,13/09/1996,13/09/1996,
TPO-234W,TPO-234W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-234W.pdf,https://www.stockport.gov.uk/TPO/234W,,06/12/1996,,06/12/1996,06/12/1996,
TPO-236W,TPO-236W,https://live-iag-static-assets.s3.eu-west-1.amazonaws.com/pdf/Trees/TPO-236W.pdf,https://www.stockport.gov.uk/TPO/236W,,16/05/1997,,16/05/1997,16/05/1997,
