Reference,name,document-url,documentation-url,notes,made_date,start_date,confirmed_date,end_date,entry_date
TPO1710,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01710.pdf,,,2017-01-16,2017-01-16,2017-05-16,,2017-01-16
TPO1711,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01711.pdf,,,2017-02-08,2017-02-08,2017-05-16,,2017-02-08
TPO1712,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01712.pdf,,,2017-02-08,2017-02-08,2017-05-16,,2017-02-08
TPO1713,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01713.pdf,,,2017-01-12,2017-01-12,2017-05-09,,2017-01-12
TPO1714,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01714.pdf,,,2017-01-31,2017-01-31,2017-05-16,,2017-01-31
TPO1715,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01715.pdf,,,2017-01-31,2017-01-31,2017-05-23,,2017-01-31
TPO1719,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01719.pdf,,,2017-04-04,2017-04-04,2017-08-09,,2017-04-04
TPO1720,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01720.pdf,,,2017-02-02,2017-02-02,2017-06-08,,2017-02-02
TPO1721,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01721.pdf,,,2017-02-14,2017-02-14,2017-06-20,,2017-02-14
TPO1723,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01723.pdf,,,2017-03-01,2017-03-01,2017-06-28,,2017-03-01
TPO1724,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01724.pdf,,,2017-02-14,2017-02-14,2017-06-20,,2017-02-14
TPO1725,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01725.pdf,,,2017-03-01,2017-03-01,2017-06-20,,2017-03-01
TPO1728,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01728.pdf,,,2017-02-07,2017-02-07,2017-06-20,,2017-02-07
TPO1738,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01738.pdf,,,2017-04-18,2017-04-18,2017-08-24,,2017-04-18
TPO1739,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01739.pdf,,,2017-03-01,2017-03-01,2017-06-28,,2017-03-01
TPO1740,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01740.pdf,,,2017-03-09,2017-03-09,2017-06-20,,2017-03-09
TPO1749,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01749.pdf,,,2017-03-28,2017-03-28,2017-07-27,,2017-03-28
TPO1750,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01750.pdf,,,2017-03-29,2017-03-29,2017-08-24,,2017-03-29
TPO1751,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01751.pdf,,,2017-03-23,2017-03-23,2017-07-20,,2017-03-23
TPO1757,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01757.pdf,,,2017-04-04,2017-04-04,2017-08-09,,2017-04-04
TPO1758,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01758.pdf,,,2017-04-04,2017-04-04,2017-07-19,,2017-04-04
TPO1760,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01760.pdf,,,2017-04-11,2017-04-11,2017-09-05,,2017-04-11
TPO1764,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01764.pdf,,,2017-04-18,2017-04-18,2017-07-12,,2017-04-18
TPO1765,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01765.pdf,,,2017-04-18,2017-04-18,2017-09-05,,2017-04-18
TPO1766,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01766.pdf,,,2017-04-24,2017-04-24,2017-09-05,,2017-04-24
TPO1777,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01777.pdf,,,2017-05-17,2017-05-17,2017-09-26,,2017-05-17
TPO1784,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01784.pdf,,,2017-05-11,2017-05-11,2017-09-26,,2017-05-11
TPO1787,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01787.pdf,,,2017-05-26,2017-05-26,2017-09-26,,2017-05-26
TPO1788,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01788.pdf,,,2017-05-24,2017-05-24,2017-09-14,,2017-05-24
TPO1789,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01789.pdf,,,2017-06-08,2017-06-08,2017-10-16,,2017-06-08
TPO1800,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01800.pdf,,,2017-06-15,2017-06-15,2017-12-11,,2017-06-15
TPO1802,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01802.pdf,,,2017-06-13,2017-06-13,2017-10-17,,2017-06-13
TPO1821,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01821.pdf,,,2017-07-20,2017-07-20,2017-11-07,,2017-07-20
TPO1825,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01825.pdf,,,2017-07-20,2017-07-20,2017-11-07,,2017-07-20
TPO1829,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01829.pdf,,,2017-08-01,2017-08-01,2017-11-07,,2017-08-01
TPO1831,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01831.pdf,,,2017-08-01,2017-08-01,2017-11-07,,2017-08-01
TPO1833,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01833.pdf,,,2017-08-01,2017-08-01,2017-11-06,,2017-08-01
TPO1836,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01836.pdf,,,2017-08-22,2017-08-22,2018-01-10,,2017-08-22
TPO1842,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01842.pdf,,,2017-09-12,2017-09-12,2018-02-01,,2017-09-12
TPO1845,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01845.pdf,,,2017-09-12,2017-09-12,2018-01-10,,2017-09-12
TPO1846,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01846.pdf,,,2017-09-12,2017-09-12,2018-01-10,,2017-09-12
TPO1847,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01847.pdf,,,2017-09-20,2017-09-20,2018-01-10,,2017-09-20
TPO1848,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01848.pdf,,,2017-09-20,2017-09-20,2018-02-28,,2017-09-20
TPO1849,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01849.pdf,,,2017-09-20,2017-09-20,2018-01-10,,2017-09-20
TPO1850,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01850.pdf,,,2017-09-20,2017-09-20,2018-02-01,,2017-09-20
TPO1854,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01854.pdf,,,2017-10-03,2017-10-03,2018-02-19,,2017-10-03
TPO1856,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01856.pdf,,,2017-10-03,2017-10-03,,,2017-10-03
TPO1857,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01857.pdf,,,2017-10-03,2017-10-03,2018-02-19,,2017-10-03
TPO1859,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01859.pdf,,,2017-11-15,2017-11-15,2018-02-19,,2017-11-15
TPO1860,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01860.pdf,,,2017-10-12,2017-10-12,2018-02-19,,2017-10-12
TPO1863,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01863.pdf,,,2017-10-12,2017-10-12,2018-02-19,,2017-10-12
TPO1866,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01866.pdf,,,2017-11-01,2017-11-01,2018-02-19,,2017-11-01
TPO1867,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01867.pdf,,,2017-10-12,2017-10-12,2018-02-19,,2017-10-12
TPO1868,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01868.pdf,,,2017-11-02,2017-11-02,2018-02-06,,2017-11-02
TPO1869,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01869.pdf,,,2017-11-01,2017-11-01,2018-02-19,,2017-11-01
TPO1870,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01870.pdf,,,2017-11-15,2017-11-15,2018-03-13,,2017-11-15
TPO1871,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01871.pdf,,,2017-11-15,2017-11-15,2018-03-13,,2017-11-15
TPO1874,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01874.pdf,,,2017-11-15,2017-11-15,2018-03-13,,2017-11-15
TPO1876,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01876.pdf,,,2017-11-15,2017-11-15,2018-03-13,,2017-11-15
TPO1879,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01879.pdf,,,2017-12-19,2017-12-19,,,2017-12-19
TPO1880,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01880.pdf,,,2017-12-19,2017-12-19,2018-03-22,,2017-12-19
TPO1881,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01881.pdf,,,2017-12-19,2017-12-19,2018-03-22,,2017-12-19
TPO1882,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01882.pdf,,,2017-12-19,2017-12-19,2018-03-22,,2017-12-19
TPO1884,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01884.pdf,,,2018-01-24,2018-01-24,2018-03-22,,2018-01-24
TPO1885,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01885.pdf,,,2018-02-15,2018-02-15,2018-07-31,,2018-02-15
TPO1886,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01886.pdf,,,2018-02-15,2018-02-15,2018-07-31,,2018-02-15
TPO1888,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01888.pdf,,,2018-02-27,2018-02-27,2018-07-31,,2018-02-27
TPO1890,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01890.pdf,,,2018-02-27,2018-02-27,2018-07-31,,2018-02-27
TPO1894,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01894.pdf,,,2018-03-05,2018-03-05,2018-08-31,,2018-03-05
TPO1895,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01895.pdf,,,2018-11-16,2018-11-16,2019-04-08,,2018-11-16
TPO1896,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01896.pdf,,,2018-03-20,2018-03-20,2018-09-12,,2018-03-20
TPO1897,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01897.pdf,,,2019-01-18,2019-01-18,2019-05-13,,2019-01-18
TPO1898,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01898.pdf,,,2019-01-22,2019-01-22,,,2019-01-22
TPO1899,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01899.pdf,,,2018-03-20,2018-03-20,2018-09-12,,2018-03-20
TPO1904,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01904.pdf,,,2018-03-20,2018-03-20,2018-09-12,,2018-03-20
TPO1905,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01905.pdf,,,2018-03-20,2018-03-20,2018-09-12,,2018-03-20
TPO1909,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01909.pdf,,,2018-03-20,2018-03-20,2018-09-12,,2018-03-20
TPO1910,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01910.pdf,,,2018-11-23,2018-11-23,2019-04-08,,2018-11-23
TPO1912,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01912.pdf,,,2018-12-11,2018-12-11,2019-04-08,,2018-12-11
TPO1913,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01913.pdf,,,2019-01-07,2019-01-07,2019-05-13,,2019-01-07
TPO1915,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01915.pdf,,,2019-01-11,2019-01-11,2019-05-13,,2019-01-11
TPO1916,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01916.pdf,,,2019-01-15,2019-01-15,2019-05-13,,2019-01-15
TPO1918,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01918.pdf,,,2018-05-25,2018-05-25,2019-10-18,,2018-05-25
TPO1925,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01925.pdf,,,2020-10-02,2020-10-02,2021-03-31,,2020-10-02
TPO1926,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01926.pdf,,,2020-11-13,2020-11-13,2021-03-30,,2020-11-13
TPO1927,,https://www.stalbans.gov.uk/sites/default/files/documents/publications/planning-building-control/tree-preservation-orders/TPO01927.pdf,,,2021-03-05,2021-03-05,2021-08-27,,2021-03-05
