reference,name,document-url,conservation-area,documentation_url,document-type,notes,start_date,end_date,entry_date
CA15CHAPA16,HampsteadGardenSuburbConservationArea - Area16FinchleyRoadCharacterAppraisal,https://open.barnet.gov.uk/download/2nx73/f3r,CA15,https://www.barnet.gov.uk/node/9014,area-appraisal,,12/10/2010,,24/10/2024
CA15CHAPA17,HampsteadGardenSuburbConservation Area - Area 17 Spaniards End Character Appraisal,https://open.barnet.gov.uk/download/2nx73/leb,CA15,https://www.barnet.gov.uk/node/9014,area-appraisal,,12/10/2010,,24/10/2024
CA15CHAPAA,HampsteadGardenSuburbConservationArea - AreaAEastFinchleyCemeteryAndStMaryleboneCrematorium Character Appraisal,https://open.barnet.gov.uk/download/2nx73/sje,CA15,https://www.barnet.gov.uk/node/9014,area-appraisal,,12/10/2010,,24/10/2024
CA15CHAPAB,HampsteadGardenSuburbConservationArea - AreaBBigwoodCharacterAppraisal,https://open.barnet.gov.uk/download/2nx73/z5z,CA15,https://www.barnet.gov.uk/node/9014,area-appraisal,,12/10/2010,,24/10/2024
CA15CHAPAC,HampsteadGarden SuburbConservation Area - AreaCGoldersGreenCrematoriumCharacterAppraisal,https://open.barnet.gov.uk/download/2nx73/8gf,CA15,https://www.barnet.gov.uk/node/9014,area-appraisal,,12/10/2010,,24/10/2024
CA15CHAPAD,HampsteadGardenSuburbConservationArea - AreaDHeathExtensionCharacterAppraisal,https://open.barnet.gov.uk/download/2nx73/bjk,CA15,https://www.barnet.gov.uk/node/9014,area-appraisal,,12/10/2010,,24/10/2024
CA15CHAPAE,HampsteadGardenSuburbConservationArea - AreaEHampsteadGolfCourseCharacterAppraisal,https://open.barnet.gov.uk/download/2nx73/vbm,CA15,https://www.barnet.gov.uk/node/9014,area-appraisal,,12/10/2010,,24/10/2024
CA15CHAPTBA,HampsteadGardenSuburbConservationArea - TheBishopsAvenueCharacterAppraisal,https://open.barnet.gov.uk/download/2nx73/j4d,CA15,https://www.barnet.gov.uk/node/9014,area-appraisal,,12/10/2010,,24/10/2024
CA15DG,HampsteadGardenSuburbConservationArea - DesignGuidance,https://open.barnet.gov.uk/download/2nx73/x4y,CA15,https://www.barnet.gov.uk/node/9014,,Design-guidance,12/10/2010,,24/10/2024
CA16CHAP,GoldersGreenTownCentreConservationArea - CharacterAppraisalAndManagementProposals,https://open.barnet.gov.uk/download/2nx73/wc4,CA16,https://www.barnet.gov.uk/node/9013,area-appraisal,character appraisal and management proposals,27/07/2011,,24/10/2024
CA17CHAP,HendonTheBurroughsConservationArea - CharacterAppraisalAndManagementProposals,https://open.barnet.gov.uk/download/2nx73/znx,CA17,https://www.barnet.gov.uk/node/9017,area-appraisal,character appraisal and management proposals,16/11/2012,,24/10/2024
CA18CHAP,FinchleyGardenVillageConservationArea - Character Appraisal And Management Proposals,https://open.barnet.gov.uk/download/2nx73/qjf,CA18,https://www.barnet.gov.uk/node/9011,area-appraisal,character appraisal and management proposals,26/09/2013,,26/10/2024
CA18DG,FinchleyGardenVillageConservationArea - DesignGuidance,https://open.barnet.gov.uk/download/2nx73/m0x,CA18,https://www.barnet.gov.uk/node/9011,,Design-guidance,26/09/2013,,26/10/2024
